[52.300941, 0.483659]
[52.602559, -0.258732]

[51.540377, 0.044116]
[51.669042, -3.197849]
[50.820112, -0.402888]
[53.409144, -1.512989]
[51.776456, -0.162472]
[51.87329, -2.208078]
[53.525658, -2.119375]

[51.806968, -0.401287]
[50.908441, -1.409678]
[51.370757, -2.390386]
[51.473891, 0.326788]

[53.26269, -1.908203]
[50.849037, -1.027844]

[53.860905, -1.891875]
[52.385313, 0.534044]
[52.292203, -0.255622]
[51.535747, -0.067647]
[52.393517, -2.242564]
[53.697489, -2.318702]
[54.579102, -5.955506]
[54.588361, -5.902584]

[52.494939, 1.738739]
[51.676323, -3.542993]
[52.195239, -2.218107]
[54.554867, -1.238848]


[51.473623, -0.150748]
[51.565816, 0.470665]
[51.415312, -3.265257]
[52.616326, -1.11749]

[51.44832, -0.70419]
[51.313697, -0.770169]

[51.321262, -0.567514]
[51.451004, -2.47893]
[51.759222, -1.255814]
[54.786471, -6.640805]
[53.221692, -3.069509]
[51.46458, 0.186406]

[55.963754, -3.25702]
[51.587854, 0.461222]
[56.1171, -3.907123]

[54.485909, -1.838824]
[52.830494, -1.630673]
[53.005684, -1.29305]
[55.449253, -4.606023]
[51.963249, -2.055062]
[53.484474, -2.298919]
[56.127786, -3.194059]
[55.64446, -4.808389]
[50.830912, -0.260583]
[51.650737, -0.276493]
[51.364131, -0.154633]
[55.904448, -4.461487]
[53.597704, -2.376498]
[51.190006, -0.607082]
[50.737516, -1.909826]
[51.493211, -3.158579]

[51.525173, -3.39751]
[55.040411, -1.555984]
[53.670159, -2.974872]
[51.921714, -0.691141]
[53.360504, -2.733324]
[51.387973, -0.283568]

[53.502587, -2.09224]
[52.401568, -1.935502]
[55.932893, -3.464581]

[53.317148, -3.405939]
[51.541372, -0.075375]
[51.016697, -3.843001]
[51.333651, -1.766386]
[52.298916, -1.526845]
[52.46877, -0.705084]
[53.791795, -1.767346]
[52.630104, -1.133924]
[51.781278, -3.224173]


[51.825783, -0.841639]
[52.919337, -1.392689]
[54.687711, -1.228247]
[52.754322, -1.203976]
[55.872251, -3.035383]
[53.268229, -3.931011]
[51.570024, 0.468126]
[51.298301, -0.330468]
[51.868351, -2.223159]
[51.276548, -0.717502]

[49.194897, -2.121809]
[53.725163, -2.51304]
[51.892318, -1.147595]
[51.569524, -1.845028]
[51.872112, -2.462897]
[53.444318, -2.69667]

[52.707954, -2.751672]
[51.451155, 0.126274]
[53.369423, -1.541392]
[51.526304, -0.199194]
[51.462115, -0.362761]

[51.107809, -4.160027]
[52.982846, -1.230381]
[51.486407, -3.695054]
[52.446819, -1.852536]
[51.860462, 0.155816]
[50.788467, -1.039833]
[52.481855, -0.9083]
[53.416747, -2.246324]
[53.582755, -1.714667]
[53.236316, -0.550809]
[52.511732, -1.809534]
[50.72942, -3.510926]
[53.468306, -2.085561]
[54.647596, -1.676689]

[53.48447, -2.298916]

[52.57223, 0.08739]
[52.041392, -0.562492]
[50.808188, -4.356097]
[53.392173, -2.935804]
[52.971992, -3.07557]

[51.410952, -0.172493]
[51.394489, -0.2466]
[51.668482, -0.565836]

[55.854961, -4.278708]
[54.517826, -1.529319]
[54.89107, -1.441461]
[53.49953, -1.449931]
[55.00933, -1.436883]
[51.541495, 0.716806]
[54.907903, -1.373658]

[50.916244, -3.480265]
[52.203968, -2.230527]

[51.592291, 0.01445]
[51.291542, -0.849946]
[51.376702, 0.564236]

[51.810148, -0.027663]
[52.954998, -1.150144]
[51.482419, -0.488883]
[53.370766, -1.467527]
[51.583513, -2.99154]
[51.388303, 1.399308]
[53.412669, -1.501125]
