[ 50.869122, 0.012068 ]
[ 51.625531, -2.670598 ]
[ 53.546077, -2.285331 ]
[ 50.42015, -4.111052 ]
[ 53.798863, -1.541943 ]
[ 53.397387, -3.027079 ]
[ 50.754736, -1.874234 ]
[ 55.943102, -4.783134 ]
[ 52.980736, -1.14578 ]
[ 52.543168, -1.007677 ]
[ 51.846191, -2.577366 ]
[ 50.216216, -5.209211 ]
[ 50.908133, -1.314416 ]
[ 53.812173, -1.568762 ]
[ 53.400601, -2.974746 ]
[ 50.642406, -2.440551 ]
[ 53.374531, -1.481586 ]
[ 51.478114, 0.066822 ]
[ 51.251464, -0.698506 ]
[ 53.502631, -1.480689 ]
[ 57.18126, -2.143975 ]
[ 51.516013, -0.302154 ]
[ 51.415295, -3.265364 ]
[ 51.207124, 1.379866 ]
[ 51.399697, -0.237961 ]
[ 53.484446, -2.298935 ]
[ 52.495788, -2.484685 ]
[ 55.87332, -3.991461 ]
[ 53.800187, -1.562521 ]
[ 54.100662, -4.628321 ]
[ 53.399442, -2.672132 ]
[ 53.025929, -2.1975 ]
[ 53.452191, -2.081263 ]
[ 53.484281, -2.245034 ]
[ 53.764193, -0.274912 ]
[ 53.029639, -0.433249 ]
[ 53.486197, -2.190522 ]
[ 53.816946, -3.055749 ]
[ 53.488101, -2.286867 ]
[ 51.619443, -3.984619 ]
[ 53.770128, -1.635085 ]
[ 52.952251, -1.15179 ]
[ 54.635489, -1.656517 ]
[ 51.624228, -0.013786 ]
[ 50.726616, -1.797615 ]
[ 50.730019, -1.152006 ]
[ 52.505862, -2.098821 ]
[ 52.251142, -0.813605 ]
[ 56.038245, -3.399975 ]
[ 50.893478, -1.451312 ]
[ 52.922737, -1.078763 ]
[ 52.142559, -2.556489 ]
[ 50.916259, -3.480269 ]
[ 53.508782, -2.08614 ]
[ 50.8321, -0.071628 ]
[ 53.030432, -0.43413 ]
[ 53.735282, -2.460306 ]
[ 53.423802, -2.847268 ]
[ 51.435683, -0.331984 ]
[ 53.923974, -0.284955 ]
[ 51.57828, -0.079851 ]
[ 50.835361, -0.14409 ]
[ 53.387358, -2.175678 ]
[ 51.431215, -2.862755 ]
[ 50.216216, -5.209211 ]
[ 55.86455, -4.221224 ]
[ 50.781464, -1.130653 ]
[ 53.793404, -1.537336 ]
[ 54.857115, -1.82198 ]
[ 51.387498, 1.382563 ]
[ 51.483159, -0.20556 ]
[ 51.450062, -0.19025 ]
[ 53.484429, -2.298975 ]
[ 51.522844, -3.197559 ]
[ 54.720507, -1.370362 ]
[ 52.928397, -1.221533 ]
[ 53.273708, -1.41625 ]
[ 51.477213, -2.706602 ]
[ 54.657158, -1.189667 ]
[ 53.773448, -1.548914 ]
[ 55.965911, -3.186767 ]
[ 54.084628, -2.805304 ]
[ 51.396324, 0.467488 ]
[ 55.831973, -4.278078 ]
[ 51.467542, -0.220833 ]
[ 52.639781, 1.243475 ]
[ 53.543946, -2.223477 ]
[ 52.884159, -1.284123 ]
[ 51.519536, -3.21045 ]
[ 52.4832, -2.1058 ]
[ 54.41197, -6.704609 ]
[ 51.505418, -0.534777 ]
[ 51.5659, -0.084464 ]
[ 51.505291, -0.006573 ]
[ 52.540702, -1.940997 ]
[ 53.694686, -2.714195 ]
[ 52.481571, 1.751386 ]
[ 52.694888, -1.840386 ]
[ 51.485111, 0.339509 ]
[ 50.48203, -3.558578 ]
[ 53.378804, -2.259699 ]
[ 57.151572, -2.128682 ]
[ 51.549385, 0.000287 ]
[ 52.252392, 1.208818 ]
[ 54.390593, -6.480742 ]
[ 51.923061, -0.67152 ]
[ 53.403484, -2.220024 ]
[ 53.015019, -1.301428 ]
[ 54.865587, -1.578722 ]
[ 51.406667, -0.23 ]
[ 55.904868, -4.332826 ]
[ 51.534033, -0.452779 ]
[ 51.304892, -0.406133 ]
[ 51.508101, 0.03224 ]
[ 52.49873, -1.892145 ]
[ 53.489143, -2.222808 ]
[ 51.845733, 0.717456 ]
[ 55.931303, -3.286374 ]
[ 53.612943, -2.33592 ]
[ 51.750262, -3.275126 ]
[ 53.72293, -2.104757 ]
[ 51.665243, -0.079347 ]
[ 55.933541, -3.284238 ]
[ 55.864007, -3.503954 ]
[ 51.396409, 0.03156 ]
[ 53.483505, -2.234348 ]
[ 51.573357, -4.08975 ]
[ 51.638777, -0.470911 ]
[ 50.484726, -3.539303 ]
[ 51.723337, 0.489706 ]
[ 51.29874, 1.225721 ]
[ 51.778981, -0.433996 ]
[ 52.505862, -2.098821 ]
[ 51.503277, -0.113276 ]
[ 51.526075, -2.605593 ]
[ 52.516757, -1.805496 ]
[ 53.484434, -2.298971 ]
[ 51.783672, -1.485267 ]
[ 50.746495, -1.910349 ]
[ 53.705282, -1.780651 ]
[ 52.248043, 0.52352 ]
[ 51.506698, 0.070214 ]
[ 52.229942, -0.89464 ]
[ 51.412511, -0.420026 ]
[ 51.39695, -0.735897 ]
[ 51.650188, -3.126489 ]
[ 54.983677, -1.396106 ]
[ 52.211759, -2.192748 ]
[ 51.446992, -0.40964 ]
[ 50.385938, -4.057319 ]
[ 50.723952, -1.85998 ]
[ 52.921769, -1.217136 ]
[ 51.510294, -0.118446 ]
[ 53.477055, -2.965509 ]
[ 53.560447, -2.190421 ]
[ 51.309524, -2.207243 ]
[ 54.602886, -7.315541 ]
[ 51.521032, -0.143319 ]
[ 51.753778, -0.129854 ]
[ 53.462814, -2.245779 ]
[ 53.758001, -1.856365 ]
[ 50.78847, -1.071984 ]
[ 55.867598, -3.516401 ]
[ 52.530118, -1.22867 ]
[ 53.769767, -2.707856 ]
[ 51.469569, -0.459166 ]
[ 54.895212, -3.20532 ]
[ 52.272303, -1.554468 ]
[ 53.454281, -1.436246 ]
[ 54.897598, -1.395694 ]
[ 54.988657, -1.558938 ]
[ 52.909155, -2.478989 ]
[ 53.796707, -1.591136 ]
[ 51.832765, -2.254566 ]
[ 51.676323, -3.542993 ]
[ 52.106717, -0.509496 ]
[ 51.813676, -1.650155 ]
[ 52.587288, -2.127227 ]
[ 53.829615, -1.454096 ]
[ 50.716959, -1.884159 ]
[ 56.164048, -3.326566 ]
[ 53.424469, -2.844185 ]
[ 51.683274, -4.947781 ]
[ 52.644847, 1.303764 ]
[ 51.498775, 0.004122 ]
[ 51.501081, -0.115112 ]
[ 53.484434, -2.298971 ]
[ 51.045866, -1.790701 ]
[ 51.867701, -2.236828 ]
[ 51.353805, -0.127256 ]
[ 53.382589, -2.16263 ]
[ 52.512348, -1.76966 ]
[ 53.809792, -1.570626 ]
[ 53.480601, -2.254931 ]
[ 51.593089, -0.105768 ]
[ 50.851113, 0.54157 ]
[ 52.820598, -2.141698 ]
[ 52.183742, -2.199813 ]
[ 52.446689, -0.823202 ]
[ 51.361767, -0.513159 ]
[ 53.480407, -2.237638 ]
[ 52.778631, -1.580556 ]
[ 52.264881, -1.539948 ]
[ 53.65012, -2.10072 ]
[ 50.723883, -3.514773 ]
[ 57.12019, -2.135692 ]
[ 51.518718, -0.119512 ]
[ 52.482863, -0.719412 ]
[ 53.27844, -1.257933 ]
[ 51.411984, -0.222556 ]
[ 56.032579, -3.812652 ]
[ 52.630576, -1.972416 ]
[ 57.222059, -2.413167 ]
[ 53.859826, -2.176068 ]
[ 51.497212, -3.160162 ]
[ 53.809188, -1.717063 ]
[ 54.877308, -1.49034 ]
[ 52.368097, 1.126927 ]
[ 53.252304, -0.542902 ]
[ 51.507586, -0.126273 ]
[ 55.976699, -3.596197 ]
[ 51.76434, 0.13129 ]
[ 54.605209, -1.078878 ]
[ 51.515467, -0.06869 ]
[ 53.809513, -1.615814 ]
[ 53.036807, -0.467127 ]
[ 57.151627, -2.107004 ]
[ 52.696243, -1.825605 ]
[ 53.545405, -2.429975 ]
[ 55.931746, -4.151562 ]
[ 55.856067, -4.261512 ]
[ 51.771909, -3.760747 ]
[ 54.995099, -1.505855 ]
[ 55.734601, -3.984649 ]
[ 51.661762, -2.374231 ]
[ 51.457748, -3.371053 ]
[ 52.46183, 1.737075 ]
[ 51.577952, 0.431206 ]
[ 55.629376, -6.188393 ]
[ 51.621413, -3.935318 ]
[ 51.537474, -0.397436 ]
[ 55.880015, -4.258032 ]
[ 52.224291, -2.21118 ]
[ 53.484434, -2.298971 ]
[ 51.41463, -0.070523 ]
[ 53.158068, 0.342484 ]
[ 51.923055, -0.671506 ]
[ 53.198997, -2.903174 ]
[ 51.506027, -0.218126 ]
[ 51.452932, 0.10144 ]
[ 51.565802, -0.084391 ]
[ 55.622345, -4.543348 ]
[ 52.46272, 0.618177 ]
[ 52.969163, -1.169684 ]
[ 53.447008, -2.919378 ]
[ 52.130296, 0.174205 ]
[ 51.390497, -2.368148 ]
[ 52.826207, -0.004773 ]
[ 51.533497, -0.073198 ]
[ 51.472489, -3.203874 ]
[ 51.331363, -1.06044 ]
[ 53.543042, -2.063629 ]
[ 51.524866, 0.031133 ]
[ 50.80785, 0.305819 ]
[ 53.422995, -2.137566 ]
[ 54.904597, -1.411883 ]
[ 53.345666, -3.014777 ]
[ 51.443524, -0.215821 ]
[ 53.453565, -2.341237 ]
[ 54.097063, -3.255791 ]
[ 55.891145, -4.325423 ]
[ 54.956962, -1.468216 ]
[ 51.534091, -0.661923 ]
[ 50.931294, -1.330674 ]
[ 53.428138, -1.288196 ]
[ 54.552105, -6.012652 ]
[ 52.221089, 1.336794 ]
[ 55.954334, -2.999234 ]
[ 51.376498, 1.382836 ]
[ 51.388016, -0.751111 ]
[ 52.203654, 0.117255 ]
[ 50.26529, -5.035998 ]
[ 50.831949, -0.071374 ]
[ 51.474775, -0.054092 ]
[ 51.858098, -4.326732 ]
[ 51.717257, -1.952831 ]
[ 54.977763, -1.498445 ]
[ 52.530133, -1.22871 ]
[ 54.662185, -5.921662 ]
[ 51.69481, -0.401313 ]
[ 51.381351, -2.323764 ]
[ 51.614056, -3.972612 ]
[ 51.475742, -0.144502 ]
[ 54.085253, -0.190781 ]
[ 51.653508, -3.98877 ]
[ 53.793537, -1.657389 ]
[ 54.973498, -1.600639 ]
[ 54.71544, -1.59083 ]
[ 53.15113, -2.394506 ]
[ 55.596679, -4.639169 ]
[ 51.644982, -0.347526 ]
[ 53.60414, -2.429354 ]
[ 52.474756, -1.916444 ]
[ 52.505469, -2.099576 ]
[ 50.740728, -3.502472 ]
[ 53.096263, -2.992738 ]
[ 51.739496, 0.70157 ]
[ 52.251425, -1.164529 ]
[ 54.428877, -6.457677 ]
[ 51.382793, -0.293012 ]
[ 53.534499, -2.704623 ]
[ 51.493343, -0.26618 ]
[ 52.426566, -2.901406 ]
[ 54.533088, -3.564175 ]
[ 49.196727, -2.159022 ]
[ 52.561305, -1.786569 ]
[ 55.120378, -6.945611 ]
[ 50.56052, -2.448637 ]
[ 51.639837, -3.969028 ]
[ 53.484434, -2.298971 ]
[ 54.966669, -1.781629 ]
[ 52.716374, -1.377366 ]
[ 53.4462, -2.025353 ]
[ 51.507406, -0.250487 ]
[ 51.707076, -0.031088 ]
[ 51.846191, -2.577366 ]
[ 53.526599, -2.142569 ]
[ 52.909254, -1.398015 ]
[ 51.419045, -0.854268 ]
[ 54.914341, -1.536886 ]
[ 51.367495, -2.380657 ]
[ 52.461185, 1.728189 ]
[ 53.559565, -2.875501 ]
[ 51.668046, -3.230028 ]
[ 55.820367, -4.290471 ]
[ 51.280768, -1.097607 ]
[ 51.098346, -0.156302 ]
[ 56.458268, -2.984526 ]
[ 51.131027, -0.153857 ]
[ 51.071584, -1.773928 ]
[ 53.461679, -2.214763 ]
[ 50.62513, -3.412081 ]
